contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic small programme C001,2026-10-30,Renewal,Live,3,2027-06-21,2027-04-25,1,PM,1
C002,Synthetic small programme C002,2026-05-16,Renewal,Non-live (Consist),3,2027-06-21,2027-03-23,2,C,1
C003,Synthetic small programme C003,2026-07-24,Construction,Non-live (Others),2,2027-06-21,2027-04-25,1,C,1
C004,Synthetic small programme C004,2026-10-05,Construction,Non-live (Others),3,2027-06-21,2027-02-28,2,C,1
C005,Synthetic small programme C005,2026-10-17,Construction,Non-live (Others),3,2027-06-21,2027-03-21,1,C,1
C006,Synthetic small programme C006,2026-07-07,Renewal,Non-live (Consist),3,2027-06-21,2027-04-11,1,PC,3
C007,Synthetic small programme C007,2026-07-16,Construction,Non-live (Others),2,2027-06-21,2027-03-16,1,PC,1
C008,Synthetic small programme C008,2026-08-22,Construction,Non-live (Others),2,2027-06-21,2027-04-06,1,PC,1
C009,Synthetic small programme C009,2026-10-18,Renewal,Non-live (Consist),1,2027-06-21,2027-04-04,1,C,1
C010,Synthetic small programme C010,2026-10-25,Renewal,Non-live (Consist),2,2027-06-21,2027-04-06,1,C,1
C011,Synthetic small programme C011,2026-08-14,Renewal,Live,1,2027-06-21,2027-04-25,1,PC,1
