contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic contract_contention programme C001,2027-03-21,Construction,Non-live (Others),3,2028-03-13,2028-02-20,1,C,3
C002,Synthetic contract_contention programme C002,2027-03-22,Construction,Non-live (Others),3,2028-03-13,2028-02-13,1,C,3
C003,Synthetic contract_contention programme C003,2027-04-28,Renewal,Live,3,2028-03-13,2028-02-13,2,C,2
C004,Synthetic contract_contention programme C004,2027-02-19,Renewal,Live,3,2028-03-13,2028-02-13,1,C,2
C005,Synthetic contract_contention programme C005,2026-11-30,Renewal,Non-live (Consist),3,2028-03-13,2028-02-13,2,C,3
C006,Synthetic contract_contention programme C006,2027-04-20,Construction,Non-live (Others),1,2028-03-13,2028-02-13,2,C,3
C007,Synthetic contract_contention programme C007,2027-04-07,Construction,Non-live (Others),1,2028-03-13,2028-02-15,1,C,3
C008,Synthetic contract_contention programme C008,2027-04-04,Renewal,Live,3,2028-03-13,2027-10-17,1,PC,2
C009,Synthetic contract_contention programme C009,2027-02-27,Renewal,Live,3,2028-03-13,2028-02-13,2,PM,2
C010,Synthetic contract_contention programme C010,2026-12-17,Construction,Non-live (Others),3,2028-03-13,2028-02-15,1,PC,3
C011,Synthetic contract_contention programme C011,2027-04-26,Renewal,Non-live (Consist),3,2028-03-13,2028-01-18,1,PC,3
